Ticker,Start_Date,End_Date,Observations,Mean_Daily_Log_Return,Std_Daily_Log_Return,Skewness,Kurtosis,Annualised_Volatility,Annualised_Return
EEM,2007-03-01,2025-12-30,4739,0.00017059929913404003,0.017580505932233655,0.07330245949920607,19.81880143550047,0.27908187971631604,0.043928523860742974
EWJ,2007-03-01,2025-12-30,4739,0.00013754940872089217,0.012900494673491652,-0.056771947563947864,14.022548129125498,0.20478900417463383,0.03527019539238885
FXB,2007-03-01,2025-12-30,4739,-5.270459887964226e-05,0.0060430459052316626,-1.0426429120309577,16.47196161315165,0.09593037975954107,-0.013193748198332855
FXE,2007-03-01,2025-12-30,4739,-1.787525186127678e-05,0.005686686343239931,0.05916660140337708,5.630927931271531,0.0902733470894409,-0.004494433139630494
FXY,2007-03-01,2025-12-30,4739,-7.883888694534558e-05,0.006393487270050187,0.205959385783704,7.1245483548616395,0.10149346396206031,-0.019671343251345896
GLD,2007-03-01,2025-12-30,4739,0.000380198773475812,0.011021024092515557,-0.28209435513589415,9.25174885388704,0.17495333365228485,0.10055003969676068
IEF,2007-03-01,2025-12-30,4739,0.00013026829598555885,0.004406401994738199,0.11429872591112182,5.559576097731078,0.0699494631279373,0.033372381428647735
IWM,2007-03-01,2025-12-30,4739,0.00029692085122944365,0.01570640495919512,-0.5164481616729591,9.761326196474121,0.24933144907741125,0.0776945187122986
QQQ,2007-03-01,2025-12-30,4739,0.0005944334301957266,0.014058285573207251,-0.2573706758662688,10.471971452376197,0.22316836491980102,0.16159867498794633
SLV,2007-03-01,2025-12-30,4739,0.00034356792393062604,0.019643941183854496,-0.7724853146286801,10.793275269201093,0.31183789884995244,0.09043763627474632
SPY,2007-03-01,2025-12-30,4739,0.00040923185588888247,0.012488072483230705,-0.29539823503653395,16.849189045681893,0.19824200487106367,0.10863156193700285
TLT,2007-03-01,2025-12-30,4739,0.00011767804357900662,0.009594567742031834,0.007679036109196975,6.126100218312917,0.15230904109547252,0.030098951435372
USO,2007-03-01,2025-12-30,4739,-0.0003737472126712767,0.023398533336387303,-1.1207886671429692,16.980203410866395,0.3714402015104114,-0.08988498522320887
UUP,2007-03-01,2025-12-30,4739,5.800050783082891e-05,0.00512123961616448,-0.06926416086872518,7.534839312318037,0.08129715857245857,0.01472346588915574
VGK,2007-03-01,2025-12-30,4739,0.0001942279230484197,0.01495531161585005,-0.6079876086044539,13.607902781024398,0.23740821189008865,0.050163048718866676
